location,loc_name,recording,n_tracks,duration_s,merge_count,traffic_level
0,cologne_butzweiler,0,1409,40.6,121,高
0,cologne_butzweiler,1,877,22.2,77,高
0,cologne_butzweiler,2,183,4.6,17,低
0,cologne_butzweiler,3,960,20.2,202,高
0,cologne_butzweiler,4,219,4.2,20,低
0,cologne_butzweiler,5,478,9.6,60,中
0,cologne_butzweiler,6,381,9.9,44,中
0,cologne_butzweiler,7,138,2.5,8,低
0,cologne_butzweiler,8,204,5.2,20,低
0,cologne_butzweiler,9,370,8.0,92,中
0,cologne_butzweiler,10,284,5.8,23,低
0,cologne_butzweiler,11,668,14.4,72,中
0,cologne_butzweiler,12,247,4.5,32,低
0,cologne_butzweiler,13,453,8.3,42,中
0,cologne_butzweiler,14,851,22.2,72,高
0,cologne_butzweiler,15,494,11.0,57,中
0,cologne_butzweiler,16,263,5.8,22,低
0,cologne_butzweiler,17,198,4.0,16,低
0,cologne_butzweiler,18,109,2.1,9,低
1,cologne_fortiib,19,2261,58.9,57,高
1,cologne_fortiib,20,754,21.4,14,中
1,cologne_fortiib,21,141,3.6,0,低
1,cologne_fortiib,22,1434,44.2,23,高
1,cologne_fortiib,23,732,21.1,12,中
1,cologne_fortiib,24,403,12.0,6,中
1,cologne_fortiib,25,638,15.7,13,中
1,cologne_fortiib,26,324,8.5,4,中
1,cologne_fortiib,27,147,3.8,1,低
1,cologne_fortiib,28,94,2.2,3,低
1,cologne_fortiib,29,93,2.6,0,低
1,cologne_fortiib,30,245,7.2,5,低
1,cologne_fortiib,31,211,6.0,6,低
1,cologne_fortiib,32,547,16.6,4,中
1,cologne_fortiib,33,1021,28.5,20,高
1,cologne_fortiib,34,592,19.2,8,中
1,cologne_fortiib,35,653,17.0,2,中
1,cologne_fortiib,36,755,20.5,6,中
1,cologne_fortiib,37,321,8.0,4,中
1,cologne_fortiib,38,1075,28.8,18,高
2,aachen_brand,39,1135,66.4,385,高
2,aachen_brand,40,1104,64.6,396,高
2,aachen_brand,41,1154,59.8,370,高
2,aachen_brand,42,236,13.1,78,低
2,aachen_brand,43,963,49.4,296,高
2,aachen_brand,44,363,24.6,129,中
2,aachen_brand,45,841,58.3,283,高
2,aachen_brand,46,1287,63.7,430,高
2,aachen_brand,47,478,23.2,153,中
2,aachen_brand,48,639,29.6,198,中
2,aachen_brand,49,1218,59.3,367,高
2,aachen_brand,50,145,6.4,41,低
2,aachen_brand,51,758,41.1,267,中
2,aachen_brand,52,229,14.4,76,低
3,bergheim_roemer,53,996,52.0,98,高
3,bergheim_roemer,54,1241,69.6,121,高
3,bergheim_roemer,55,569,31.2,54,中
3,bergheim_roemer,56,745,39.6,79,中
3,bergheim_roemer,57,1244,68.4,117,高
3,bergheim_roemer,58,633,36.1,62,中
3,bergheim_roemer,59,1183,64.4,122,高
3,bergheim_roemer,60,336,17.6,42,中
4,cologne_klettenberg,61,757,13.1,173,中
4,cologne_klettenberg,62,1193,22.4,279,高
4,cologne_klettenberg,63,1849,27.5,426,高
4,cologne_klettenberg,64,393,5.9,83,中
4,cologne_klettenberg,65,1132,16.6,268,高
4,cologne_klettenberg,66,1788,26.2,382,高
4,cologne_klettenberg,67,2006,29.4,443,高
4,cologne_klettenberg,68,4059,60.0,865,高
4,cologne_klettenberg,69,1807,27.8,392,高
4,cologne_klettenberg,70,303,4.1,63,中
4,cologne_klettenberg,71,368,6.1,76,中
4,cologne_klettenberg,72,312,4.5,54,中
5,aachen_laurensberg,73,1418,56.0,730,高
5,aachen_laurensberg,74,1164,45.6,584,高
5,aachen_laurensberg,75,1299,52.5,627,高
5,aachen_laurensberg,76,1161,51.3,549,高
5,aachen_laurensberg,77,261,9.4,138,低
6,merzenich_rather,78,590,25.6,134,中
6,merzenich_rather,79,688,29.8,156,中
6,merzenich_rather,80,220,9.0,50,低
6,merzenich_rather,81,246,8.6,53,低
6,merzenich_rather,82,1429,57.4,334,高
6,merzenich_rather,83,81,3.2,13,低
6,merzenich_rather,84,788,30.2,183,中
6,merzenich_rather,85,365,14.1,89,中
6,merzenich_rather,86,1809,60.0,383,高
6,merzenich_rather,87,208,8.5,43,低
6,merzenich_rather,88,572,24.7,130,中
6,merzenich_rather,89,538,20.3,125,中
6,merzenich_rather,90,141,5.4,31,低
6,merzenich_rather,91,686,21.4,147,中
6,merzenich_rather,92,1075,39.1,232,高
